部件,关节归属,类型,材料,本轮新增或替换,制造信息,源清单,STEP,打印主文件,显示网格,网格SHA256,最近专用图册,备注
R23_R78_VMQ_lacing_pad,trunk_base,thermal_manufacturing_candidate,VMQ30A pad .40free/.30installed,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_R78_VMQ_lacing_pad.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_R78_VMQ_lacing_pad.stl,2027f30a9e310cf102bb27a12d5301d8b0c43408a7c964630851d9ed273093b8,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,
R23_R78_PTFE_case_lacing,trunk_base,thermal_manufacturing_candidate,Gudebrod2049-A PTFE lacing .3556x1.8288max,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_R78_PTFE_case_lacing.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_R78_PTFE_case_lacing.stl,f55a0e0c4429272493114ea425a93b692e8154a92befb1c2108b2e8f565db9b0,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,One removable lacing loop around actual tray/case/pad; feed before module pins are soldered. Square folds are conservative fabric envelope; radius/abrasion and hot pull/creep acceptance required. No adhesive retention credited.
R23_R78_PTFE_lacing_knot_budget,trunk_base,thermal_manufacturing_candidate,PTFE doubled knot installed budget,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_R78_PTFE_lacing_knot_budget.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_R78_PTFE_lacing_knot_budget.stl,0971b7b8af650f87ea831b878ad08a1b79b8db41c6bbe191c8baa7738bcc2005,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Actual knot must fit2.6cube; .06g allowance includes additional knot material, loop counted by CAD separately."
R23_FAN2_duct_seam_VMQ_01,trunk_base,thermal_manufacturing_candidate,"VMQ30A gasket,.20 free to.15mm compressed",True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_duct_seam_VMQ_01.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_duct_seam_VMQ_01.stl,03bf241d5b138ba08755ce01cf901b7925f763d4be693b257b20929c2d275e65,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,All seam material is actual planar intersection of ductsolid; separate islands are separate specified pieces. No gasket crosses airvoid. Leak≤5% remains measured acceptance.
R23_FAN2_duct_seam_VMQ_02,trunk_base,thermal_manufacturing_candidate,"VMQ30A gasket,.20 free to.15mm compressed",True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_duct_seam_VMQ_02.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_duct_seam_VMQ_02.stl,ef5f90849b6f36788bbbe5de53377385b4febbf93148976cad6491f0f5aac0a9,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,Component of explicitly split physical item.
R23_FAN2_seam_bolt_1,trunk_base,purchased_fastener,Certified stainless DIN912 full-thread stock M2x6,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_seam_bolt_1.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_seam_bolt_1.stl,d35e39832b1be9131557f42dded094580d5c57e828d93d0cbc332606566c0eb6,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"M2x0.4 underhead finishedL6.0mm;socketAF1.5; headD3.8H2. Nominal thread major is engagement reference, not helix. Final full-thread stock length; no cut operation. A2-70 property class requires lot certificate, not inferred from A2."
R23_FAN2_seam_nut_1,trunk_base,purchased_fastener,SUS304 NBK SHNS-M2-LP thin nut AF4 t1.2,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_seam_nut_1.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_seam_nut_1.stl,0762460a0afe27abcf982284ff5298e126ddfb1f9baee23a1cd35db9e0d4516c,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,M2x0.4 thread root shown as1.6mm bore; actual complete-thread overlap to be gauged.
R23_FAN2_seam_bolt_2,trunk_base,purchased_fastener,Certified stainless DIN912 full-thread stock M2x6,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_seam_bolt_2.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_seam_bolt_2.stl,d6ec133eaabe8d1efcd359c5a8c97f2cf6929527fd562e397239b32643d891bf,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"M2x0.4 underhead finishedL6.0mm;socketAF1.5; headD3.8H2. Nominal thread major is engagement reference, not helix. Final full-thread stock length; no cut operation. A2-70 property class requires lot certificate, not inferred from A2."
R23_FAN2_seam_nut_2,trunk_base,purchased_fastener,SUS304 NBK SHNS-M2-LP thin nut AF4 t1.2,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_seam_nut_2.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_seam_nut_2.stl,a969b1587cd2f7a10ec22d651ddd945e8b552384782b6d8bfc21559ac748a6a4,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,M2x0.4 thread root shown as1.6mm bore; actual complete-thread overlap to be gauged.
R23_FAN2_inlet_upper_half,trunk_base,thermal_manufacturing_candidate,PEEK450G unfilled CNC,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_inlet_upper_half.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_inlet_upper_half.stl,58b539ab34979dfb5b752dd9ec0460614bcb2b670e52f590d564b7488978d846,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,CNC open half. Both inlet halves positively bolted to fanframe/collector via threeM2 long through fasteners. Shell boot is compliant seal only.
R23_FAN2_inlet_lower_half,trunk_base,thermal_manufacturing_candidate,PEEK450G unfilled CNC,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_inlet_lower_half.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_inlet_lower_half.stl,156267a9a76460b2cfb31813c1128279d96a4f40119781e7f8160cdffa54bfd7,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,CNC open half. All machining interiors accessible after split; planar split atworldZ73.
R23_FAN2_inlet_seam_VMQ_01,trunk_base,thermal_manufacturing_candidate,VMQ30A .20free/.15compressed gasket,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_inlet_seam_VMQ_01.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_inlet_seam_VMQ_01.stl,6c5ed19983c1e31591301300aff2f3fc84538a53ffd223737bc1dc6f756e95c5,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,
R23_FAN2_inlet_seam_VMQ_02,trunk_base,thermal_manufacturing_candidate,VMQ30A .20free/.15compressed gasket,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_inlet_seam_VMQ_02.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_inlet_seam_VMQ_02.stl,c3bece1e378df5e83b738e47db7a55605cd8ea31c83a1d1028f54066c91c490c,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,Component of explicitly split physical item.
R23_FAN2_front_VMQ_frame_seal,trunk_base,thermal_manufacturing_candidate,"VMQ30A selected sealstock, nominal compressed.3",True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_front_VMQ_frame_seal.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_front_VMQ_frame_seal.stl,c3e10a3dd43e4ce6c7babd548cfbdb53b701abf645ad30fe1ae65bd9b999a577,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,Gauge fanframe meanplane nativeX-12.9±.05. Measured frame length10..10.5 uses each seal compressed.5.. .25 to maintain11.0mm fan+both seals total. No contact with rotor blades; select stock to20..35% compression.
R23_FAN2_rear_VMQ_frame_seal,trunk_base,thermal_manufacturing_candidate,"VMQ30A selected sealstock, nominal compressed.3",True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_rear_VMQ_frame_seal.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_rear_VMQ_frame_seal.stl,b918315d6e304fadbb78c0192d22651b2905459867d81465d44dbddc3f78efe7,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,Gauge fanframe meanplane nativeX-12.9±.05. Measured frame length10..10.5 uses each seal compressed.5.. .25 to maintain11.0mm fan+both seals total. No contact with rotor blades; select stock to20..35% compression.
R23_FAN2_mount_bolt_1,trunk_base,purchased_fastener,Certified stainless DIN912 full-thread stock M2x18,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_mount_bolt_1.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_mount_bolt_1.stl,fbb9c3667f6190dfc34a088ba7e6d808c2f7b43f9e079a3bfb5a69afe325fc4a,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"M2x0.4 underhead finishedL18.0mm;socketAF1.5; headD3.8H2. Nominal thread major is engagement reference, not helix. Final full-thread stock length; no cut operation. A2-70 property class requires lot certificate, not inferred from A2."
R23_FAN2_mount_nut_1,trunk_base,purchased_fastener,SUS304 NBK SHNS-M2-LP thin nut AF4 t1.2,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_mount_nut_1.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_mount_nut_1.stl,2fa58b8324e8bb24f8099c7f9008eb59bd4d2bfcf63bbe83674658aa7b421847,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,M2x0.4 thread root shown as1.6mm bore; actual complete-thread overlap to be gauged.
R23_FAN2_mount_bolt_2,trunk_base,purchased_fastener,Certified stainless DIN912 full-thread stock M2x18,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_mount_bolt_2.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_mount_bolt_2.stl,07769d8c89291e97c0dd4beda0e29478ac61a8c2ad3c790af8783b48d2c01ee6,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"M2x0.4 underhead finishedL18.0mm;socketAF1.5; headD3.8H2. Nominal thread major is engagement reference, not helix. Final full-thread stock length; no cut operation. A2-70 property class requires lot certificate, not inferred from A2."
R23_FAN2_mount_nut_2,trunk_base,purchased_fastener,SUS304 NBK SHNS-M2-LP thin nut AF4 t1.2,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_mount_nut_2.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_mount_nut_2.stl,d1b8ce1d70235e66dd6c55efedb3690324b5912cfc35c45941bdcaf654aed4ab,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,M2x0.4 thread root shown as1.6mm bore; actual complete-thread overlap to be gauged.
R23_FAN2_mount_bolt_3,trunk_base,purchased_fastener,Certified stainless DIN912 full-thread stock M2x18,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_mount_bolt_3.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_mount_bolt_3.stl,ce0d7863890dfff77bb2931d685baa0da6a82456af02e3859d7fa6711667f65a,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"M2x0.4 underhead finishedL18.0mm;socketAF1.5; headD3.8H2. Nominal thread major is engagement reference, not helix. Final full-thread stock length; no cut operation. A2-70 property class requires lot certificate, not inferred from A2."
R23_FAN2_mount_nut_3,trunk_base,purchased_fastener,SUS304 NBK SHNS-M2-LP thin nut AF4 t1.2,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/duct/STEP_毫米/R23_FAN2_mount_nut_3.step,,work/r23-power-integration/thermal/mechanical_completion/duct/STL_装配坐标_毫米/R23_FAN2_mount_nut_3.stl,b2dad2e60c77938d2cbf7343da52b6e7282dd0fffdaca3da7a569264ea4a732d,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,M2x0.4 thread root shown as1.6mm bore; actual complete-thread overlap to be gauged.
R23_FAN2_SUNON_MF20100V1_VENDOR,trunk_base,purchased_reference,SUNON MF20100V1-1000U-A99 purchased,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/STEP_毫米/R23_FAN2_SUNON_MF20100V1_VENDOR.step,,work/r23-power-integration/thermal/STL_装配坐标_毫米/R23_FAN2_SUNON_MF20100V1_VENDOR.stl,2fac45e8267f00057650749c8b301369d1e29d55a571d80eb314befa8fa03b6c,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Unscaled manufacturer STEP. Rotor solid is displayed stationary; airflow +Power native X. 4.65g typical, 5.5g engineering upper, supplier mass to verify. Original complete150mm factory leads are included in manufacturer typical mass; new short lead reference receives zero additional mass."
R23_Tc_AlN_tip_measured_length,trunk_base,thermal_manufacturing_candidate,AlN ceramic,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_Tc_AlN_tip_measured_length.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_Tc_AlN_tip_measured_length.stl,ecbae9c79b6c1484031f5d53c43bfcb8ad282e49f13475617ca6d9240e7a5be0,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_Tc_tip_TIM25um,trunk_base,thermal_manufacturing_candidate,Shin-Etsu G-775 controlled25um bondline; no insulation credit,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_Tc_tip_TIM25um.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_Tc_tip_TIM25um.stl,b8295356f8f0848ff5ba75689ca1e6b46cf4e8d930d7ed40158b0310e96dcace,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_T75_link_TIM50um,trunk_base,thermal_manufacturing_candidate,Shin-Etsu G-775 controlled50um bondline; no insulation credit,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_T75_link_TIM50um.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_T75_link_TIM50um.stl,c98ccb367a2c4c2b532113aa616672e3f39e36808ca4234e19b84a95829a30e0,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_T75_U1_AlN_top_contact_v2,trunk_base,thermal_manufacturing_candidate,AlN ceramic,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_T75_U1_AlN_top_contact_v2.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_T75_U1_AlN_top_contact_v2.stl,a79575e6ec129a74abad42b0143c0d350cbbc58b557ad7a1ed0dd3fdf84b1ad8,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_T75_body_TIM100um,trunk_base,thermal_manufacturing_candidate,Shin-Etsu G-775 controlled100um bondline; not structural support,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_T75_body_TIM100um.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_T75_body_TIM100um.stl,eeb501225528b27f3c8f4522e6843a1f9a5dcebc05160b76d3dccac6d49088ae,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_RT2_link_TIM25um,trunk_base,thermal_manufacturing_candidate,Shin-Etsu G-775 controlled25um bondline; no insulation credit,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_RT2_link_TIM25um.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_RT2_link_TIM25um.stl,37cc302cb56f2e27147b4aeb61581821dfc3875337f01ec02953752626500eff,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_RT2_body_TIM25um,trunk_base,thermal_manufacturing_candidate,Shin-Etsu G-775 controlled25um bondline; no insulation credit,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_RT2_body_TIM25um.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_RT2_body_TIM25um.stl,e6258dd83cb351babe0e23f9e07eb4fb8355604790bc9b1734f4f5aff19fea52,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_RT2_VMQ_top_preload,trunk_base,thermal_manufacturing_candidate,VMQ30A compliant pad .25free/.20installed,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_RT2_VMQ_top_preload.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_RT2_VMQ_top_preload.stl,8dcc55fb2d83da03b90a302ada015552069cd52a5502b2d2bf5c7777683c6152,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Physical thickness represented; thermal accuracy/contact force remains measured qualification. Tc-height tagged parts must be cut to actual datum, not nominal module envelope."
R23_Tc_CuSn8_loaded_contact_leaf,trunk_base,thermal_manufacturing_candidate,CuSn8 phosphor bronze leaf .08mm,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_Tc_CuSn8_loaded_contact_leaf.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_Tc_CuSn8_loaded_contact_leaf.stl,0255dd7bbcc490e8c524e15fb036a11bd5282a8acf7c7c11383795ef8a6861f8,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Deburred formed spring, clamped tailX15.5..17.0. ActiveL2.8,w1.4,t.08; free tab25um lower than shown. E110GPa small-deflection estimate~.022N, not measured force. Target10..30mN and maxfine motion±.10 after measured-length setup; force gauge required."
R23_Tc_removable_leaf_and_stop_cap,trunk_base,thermal_manufacturing_candidate,PEEK450G CNC,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_Tc_removable_leaf_and_stop_cap.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_Tc_removable_leaf_and_stop_cap.stl,d8f2a1dd81ff214fac843049a87a87d843556dbbd3549213748f07a91238d9af,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"One real connected cap; clamped springtail between18.10 and18.18. Front roof underside17.80, wrapped shoulder top17.675; lowerstop16.80 vswrapped16.925. One M1.6 rear screw, unload probe before removal. Front tongue overhang6mm checked for light spring load only."
R23_RT2_removable_preload_lid,trunk_base,thermal_manufacturing_candidate,PEEK450G CNC,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_RT2_removable_preload_lid.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_RT2_removable_preload_lid.stl,54b014d3fc2db8b662d28372ed9f3802e2b83ab9dab14ce5ea6d37d7a8055fd2,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"One front M1.6 screw and cantilever bridge retain NTCD3.8max against AlN base with .25free/.20installed VMQ pad. Remove screw and lift lid, never pull lead to extract. Padforce .05.. .1N measured, below1N sensor qualification target."
R23_Tc_cap_M1p6x2,trunk_base,thermal_manufacturing_candidate,Accu SIP-M1.6-2-A2-BL / SIP-M1.6-3-A4 DIN7985H PH0,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_Tc_cap_M1p6x2.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_Tc_cap_M1p6x2.stl,c31f1f5f86ea365a46171c0f7914565321ee80599b8d65fbcfc8657f988203ce,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Official DIN7985H PH0: L2blackA2 headmaxD3.2,H1.42; L3A4 maxD3.4,H1.62 due its explicit±.2 tolerances. Simplified cross recess retains exact exterior budget. L2 stock ±.2: select measured1.80..2.00mm before assembly to retain module clearance. L3 stock ±.2. Thread helices not represented."
R23_RT2_lid_M1p6x3,trunk_base,thermal_manufacturing_candidate,Accu SIP-M1.6-2-A2-BL / SIP-M1.6-3-A4 DIN7985H PH0,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/sensors/STEP_毫米/R23_RT2_lid_M1p6x3.step,,work/r23-power-integration/thermal/mechanical_completion/sensors/STL_装配坐标_毫米/R23_RT2_lid_M1p6x3.stl,602a42e91a1f2cd00a1dfed99130991f45585ed84e08cea2d7cd2bd0fffd11c3,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,"Official DIN7985H PH0: L2blackA2 headmaxD3.2,H1.42; L3A4 maxD3.4,H1.62 due its explicit±.2 tolerances. Simplified cross recess retains exact exterior budget. L2 stock ±.2: select measured1.80..2.00mm before assembly to retain module clearance. L3 stock ±.2. Thread helices not represented."
R23_RT2_NTCLE100E3103GB0_BODY_MAX_LEFT,trunk_base,purchased_reference,Vishay NTCLE100E3103GB0 max envelope,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/ports/STEP_毫米/R23_RT2_NTCLE100E3103GB0_BODY_MAX_LEFT.step,,work/r23-power-integration/thermal/mechanical_completion/ports/STL_装配坐标_毫米/R23_RT2_NTCLE100E3103GB0_BODY_MAX_LEFT.stl,5d73f61ae1f3b86408e4e6b24f22eb8e419c544d1320de90249de1f991b90169,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,RT2 moved nativeX22.5 to-1.0; Y/Z retained.
R23_RT2_AlN_isolation_contact_LEFT,trunk_base,thermal_part,AlN ceramic,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/thermal/mechanical_completion/manifest.json,work/r23-power-integration/thermal/mechanical_completion/ports/STEP_毫米/R23_RT2_AlN_isolation_contact_LEFT.step,,work/r23-power-integration/thermal/mechanical_completion/ports/STL_装配坐标_毫米/R23_RT2_AlN_isolation_contact_LEFT.stl,f1d5f5ae4e481a9d8d86f22aeead8f40b04aa5a2a40f2bf778d5c7a6c47b6370,work/r23-power-integration/thermal/mechanical_completion/R23_热组件_制造尺寸与装配.pdf,RT2 moved nativeX22.5 to-1.0; Y/Z retained.
